Year,Unnamed: 0,GEOID,TTI,PTI,BTI,Peak,w_geocode,Population,Jobs,Jobs_Capita,Severity,Variability
2020,718,150030022031,1.466490352344971,2.3419975443799195,0.0335844048854686,am,150030022031.0,2009.0,92.0,21.83695652173913,1.9042439483624451,1.597008490805944
2020,719,150030022041,1.508201274981796,2.2529581776575944,0.0302990294743754,am,150030022041.0,1344.0,42.0,32.0,1.880579726319695,1.4938047162735544
2020,720,150030022051,1.508201274981796,2.2529581776575944,0.0302990294743754,am,150030022051.0,2118.0,688.0,3.078488372093023,1.880579726319695,1.4938047162735544
2020,721,150030022061,1.5323865973411035,2.3444727490413944,0.0586045591020414,am,150030022061.0,1274.0,11.0,115.81818181818181,1.938429673191249,1.5299486129083675
2020,722,150030022062,1.5565719197004115,2.4359873204251943,0.0869100887297074,am,150030022062.0,964.0,4.0,241.0,1.9962796200628028,1.5649693339540913
2020,723,150030023011,1.3277296642740253,2.4605598783209146,0.1905525772353822,am,150030023011.0,790.0,63.0,12.53968253968254,1.89414477129747,1.8532084840224587
2020,724,150030023013,1.5565719197004115,2.4359873204251943,0.0869100887297074,am,150030023013.0,1586.0,28.0,56.642857142857146,1.9962796200628028,1.5649693339540913
2020,725,150030023021,1.4772021831909778,2.5403367413523488,0.0447040566014355,am,150030023021.0,1068.0,87.0,12.275862068965518,2.008769462271663,1.7196946838142637
2020,726,150030023022,1.5254934295875904,2.569788486778084,0.1122830205354474,am,150030023022.0,703.0,308.0,2.2824675324675323,2.0476409581828374,1.6845621468673344
2020,727,150030024011,1.4247794297081462,2.4310369111022445,0.0368697802965619,am,150030024011.0,743.0,8.0,92.875,1.9279081704051952,1.706254919472147
2020,728,150030024012,1.4247794297081462,2.4310369111022445,0.0368697802965619,am,150030024012.0,1079.0,11.0,98.0909090909091,1.9279081704051952,1.706254919472147
2020,729,150030024031,1.3547819971870607,2.211380684481951,0.0259186671880209,am,150030024031.0,782.0,233.0,3.356223175965665,1.7830813408345056,1.632277878709231
2020,730,150030024041,1.3547819971870607,2.211380684481951,0.0259186671880209,am,150030024041.0,610.0,136.0,4.485294117647059,1.7830813408345056,1.632277878709231
2020,731,150030024042,1.3547819971870607,2.211380684481951,0.0259186671880209,am,150030024042.0,736.0,98.0,7.510204081632653,1.7830813408345056,1.632277878709231
2020,732,150030025001,1.4551839426793085,2.595581750687569,0.0574330460114963,am,150030025001.0,1895.0,731.0,2.5923392612859097,2.025382846683439,1.7836794885934086
2020,733,150030025002,1.4829034888570185,2.510172497324969,0.0508555525777883,am,150030025002.0,1201.0,212.0,5.665094339622642,1.996537993090994,1.692741649195081
2020,734,150030025003,1.3191393646066023,2.409754884724636,0.0342675777522401,am,150030025003.0,369.0,194.0,1.902061855670103,1.8644471246656193,1.8267629254193931
2020,735,150030026001,1.3736989406494535,2.1313712298181056,0.191100404581783,am,150030026001.0,852.0,2343.0,0.36363636363636365,1.7525350852337795,1.5515562884618967
2020,736,150030026002,1.314782343153803,2.122566310213601,0.1321675721526612,am,150030026002.0,1032.0,1115.0,0.9255605381165919,1.718674326683702,1.6143860778675696
2020,737,150030026003,1.359539116725789,2.1634775493412666,0.3013716058024756,am,150030026003.0,899.0,821.0,1.0950060901339829,1.761508333033528,1.5913315937180401
2020,738,150030026004,1.446953975389648,2.3688307716811177,0.0614400125187272,am,150030026004.0,1320.0,710.0,1.8591549295774648,1.907892373535383,1.6371154936308314
2020,739,150030027011,1.5455263677661464,2.4287971558364605,0.0479715021891459,am,150030027011.0,1391.0,993.0,1.4008056394763344,1.9871617618013033,1.5715015974440896
2020,740,150030027012,1.3504732647787534,2.4590662587678547,0.2443558824224093,am,150030027012.0,967.0,107.0,9.037383177570094,1.904769761773304,1.8208922182333769
2020,741,150030027013,1.474973549736732,2.3476112303572534,0.1103586666768155,am,150030027013.0,3314.0,61.0,54.32786885245902,1.9112923900469927,1.5916293758462845
2020,742,150030027021,1.6499046711153482,2.444232602478551,0.0582514919561141,am,150030027021.0,1181.0,63.0,18.746031746031747,2.0470686367969497,1.4814386826520292
2020,743,150030027022,1.2492137697822128,2.0950134861754868,0.1640498340336395,am,150030027022.0,867.0,942.0,0.9203821656050956,1.6721136279788498,1.677065636685009
2020,744,150030027023,1.1043779394333966,1.6976368320408814,0.1239528436530956,am,150030027023.0,1695.0,179.0,9.46927374301676,1.401007385737139,1.537188286205588
2020,745,150030027024,1.0886617169290826,1.7280811253991946,0.2323104119345053,am,150030027024.0,1096.0,50.0,21.92,1.4083714211641385,1.5873444418288154
2020,746,150030034082,1.1085295053940067,1.806468294802271,0.0487887339603272,am,150030034082.0,774.0,6.0,129.0,1.4574989000981389,1.629607769583178
2020,747,150030034092,1.1085295053940067,1.806468294802271,0.0487887339603272,am,150030034092.0,749.0,92.0,8.141304347826088,1.4574989000981389,1.629607769583178
2020,748,150030034101,1.105302211924208,1.6301032183371753,0.0694902848402518,am,150030034101.0,1796.0,23.0,78.08695652173913,1.3677027151306915,1.4748031812035798
2020,749,150030034131,1.3751053962900504,1.833473861720068,0.0193241342930024,am,150030034131.0,1081.0,27.0,40.03703703703704,1.6042896290050592,1.333333333333334
2020,750,150030034132,1.1542105045026283,1.9537794585920567,0.4615870191825285,am,150030034132.0,1269.0,166.0,7.644578313253012,1.5539949815473424,1.6927410129870357
2020,751,150030034144,1.4727499487817504,2.189184699033111,0.2461971101542241,am,150030034144.0,1050.0,606.0,1.7326732673267327,1.8309673239074307,1.4864605501049184
2020,752,150030035011,1.31698555299966,1.9093719562064344,0.0244575556485976,am,150030035011.0,684.0,929.0,0.736275565123789,1.6131787546030472,1.4498047847658717
2020,753,150030035012,1.347022032099697,1.9479039792482888,0.0255181210589353,am,150030035012.0,1630.0,953.0,1.7103882476390346,1.647463005673993,1.446081751322178
2020,754,150030035031,1.3051032908906497,1.861622244141791,0.0231289375364035,am,150030035031.0,955.0,2100.0,0.45476190476190476,1.5833627675162203,1.426417554177917
2020,755,150030035041,1.501364468205982,2.296932698880178,0.1782693972153356,am,150030035041.0,835.0,269.0,3.104089219330855,1.89914858354308,1.5298968022234072
2020,756,150030035042,1.4295234032749915,2.2939876417048044,0.1795098877080939,am,150030035042.0,2118.0,1245.0,1.7012048192771085,1.861755522489898,1.6047219908742687
2020,757,150030036041,1.5806970132764435,2.44007266805082,0.1806652405830733,am,150030036041.0,751.0,1973.0,0.3806386213887481,2.0103848406636318,1.5436688040506106
2020,758,150030036062,1.3171528070863474,1.9413188994037531,0.0227643857366704,am,150030036062.0,1249.0,113.0,11.053097345132743,1.6292358532450502,1.4738752322125126
2020,759,150030037012,1.4609214412713605,2.496491013696132,0.1992853715860267,am,150030037012.0,700.0,2579.0,0.27142303218301667,1.9787062274837464,1.7088468573118973
2020,760,150030037013,1.299109282912346,1.792831833295026,0.0140708402581259,am,150030037013.0,684.0,399.0,1.7142857142857142,1.545970558103686,1.380046972858089
2020,761,150030037021,1.7150916784203103,3.0007052186177714,0.2116153186613379,am,150030037021.0,424.0,219.0,1.9360730593607305,2.357898448519041,1.7495888157894737
2020,762,150030037023,1.4866906760365024,2.126498806062898,0.0525723888798509,am,150030037023.0,1009.0,1456.0,0.6929945054945055,1.8065947410497003,1.4303572628383703
2020,763,150030037031,1.3171528070863474,1.9413188994037531,0.0227643857366704,am,150030037031.0,1018.0,1068.0,0.9531835205992509,1.6292358532450502,1.4738752322125126
2020,764,150030037032,1.299109282912346,1.792831833295026,0.014070840258126,am,150030037032.0,486.0,2477.0,0.19620508679854662,1.545970558103686,1.380046972858089
2020,765,150030037033,1.235788531601122,1.6329165323428574,0.0146701823491187,am,150030037033.0,772.0,788.0,0.9796954314720813,1.4343525319719896,1.3213559525651248
2020,766,150030037035,1.40987441173311,2.225403257127526,0.2899266282109454,am,150030037035.0,390.0,6904.0,0.05648899188876014,1.8176388344303178,1.5784407735948016
2020,767,150030038012,1.4549124651300245,2.178576763923279,0.0224040573843516,am,150030038012.0,1280.0,1968.0,0.6504065040650406,1.8167446145266517,1.4973937031521556
2020,768,150030038014,1.2374433600557686,1.5912404147786678,0.0138658105156732,am,150030038014.0,1320.0,751.0,1.7576564580559255,1.4143418874172182,1.2859096958643461
2020,769,150030038021,1.400579066646379,2.133277441683936,0.0293473015628044,am,150030038021.0,295.0,1540.0,0.19155844155844157,1.7669282541651576,1.5231396016734484
2020,770,150030038022,1.8388229222764003,2.922895383008956,0.1977563604277557,am,150030038022.0,2396.0,1916.0,1.2505219206680585,2.380859152642678,1.5895469583283806
2020,771,150030038025,1.4151254971845728,2.206607051704355,0.0361103815650978,am,150030038025.0,879.0,1775.0,0.4952112676056338,1.810866274444464,1.5593013171584105
2020,772,150030039001,1.3906285397614195,2.0733894674777504,0.2185371481030529,am,150030039001.0,268.0,9348.0,0.02866923406076166,1.732009003619585,1.4909729005227144
2020,773,150030040001,1.4489288713132928,2.096830569603437,0.2395357637280455,am,150030040001.0,860.0,23309.0,0.03689561971770561,1.772879720458365,1.4471590780732344
2020,774,150030040002,1.41551212917265,2.222567638993538,0.3490439831274932,am,150030040002.0,471.0,3872.0,0.12164256198347108,1.819039884083094,1.570150896758901
2020,775,150030041011,1.3297696466754871,2.1417500481899983,0.168005111492287,am,150030041011.0,597.0,35.0,17.057142857142857,1.7357598474327427,1.6106173377806572
2020,776,150030041012,1.2782410324217233,1.905949177078046,0.1954390489266527,am,150030041012.0,1020.0,71.0,14.366197183098592,1.5920951047498846,1.491071815670854
2020,777,150030041021,1.5265113377157045,2.2868843756280026,0.2328764192692848,am,150030041021.0,1090.0,26.0,41.92307692307692,1.9066978566718535,1.498111621660231
2020,778,150030041022,1.4023333656666075,2.2825730593384903,0.0523908426786213,am,150030041022.0,758.0,801.0,0.9463171036204744,1.8424532125025488,1.6276964630685056
2020,779,150030041023,1.4770252216236197,2.360138433935276,0.126856000503455,am,150030041023.0,611.0,14637.0,0.04174352667896427,1.9185818277794477,1.5978998864629366
2020,780,150030042011,1.388085106382979,2.5,0.1773049645390071,am,150030042011.0,729.0,74.0,9.85135135135135,1.9440425531914896,1.8010423053341504
2020,781,150030042012,1.5692815097313464,2.4416381013440978,0.3069677897294259,am,150030042012.0,754.0,686.0,1.099125364431487,2.005459805537722,1.5558955395849243
2020,782,150030042021,1.4520971197884065,2.2269141660178025,0.122273307547866,am,150030042021.0,867.0,498.0,1.7409638554216869,1.8395056429031045,1.5335848654133404
2020,783,150030042022,1.644048251361764,2.75808231977484,0.3807290436609503,am,150030042022.0,859.0,391.0,2.1969309462915603,2.201065285568302,1.677616406629381
2020,784,150030043021,1.1139284473775617,1.3616359847169155,0.0472954492781144,am,150030043021.0,1579.0,107.0,14.757009345794392,1.2377822160472385,1.2223729342064233
